title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude
NATIONAL WHOLESALE LIQUIDATORS,111 HEMPSTEAD TURNPIKE,,WEST HEMPSTEAD,NY,11552,,,,40.704608,-73.642338
BIRCH,28 BIRCH HILL RD,,LOCUST VALLEY,NY,11560,,,,40.875701,-73.596911
GAGA FASHION COVER GIRL FASHION,130 E PARK AVE,,LONG BEACH,NY,11561,,,,40.58818,-73.660017
STORM BOUTIQUE,2743 BEACH DRIVE,,MERRICK,NY,11566,,,,40.649521,-73.553478
TEMPTATIONS FOR HER,3175 LONG BEACH RD,,OCEANSIDE,NY,11572,,,,40.634155,-73.639701
FRANCINES FASHION BOUTIQUE,5 GREEN ST,,HUNTINGTON,NY,11743,,,,40.870797,-73.428511
CASUAL 2 DRESSY,2 RUSTIC GATE,,DIX HILLS,NY,11746,,,,40.784969,-73.358209
CINDI'S,210 JERICHO TPKE,,SYOSSET,NY,11791,,,,40.810237,-73.507823
MRTIQUE,7939 JERICHO TPKE,,WOODBURY,NY,11797,,,,40.815918,-73.476568
PENELOPE (NEW YORK),8025 JERICHO TURNPIKE,,WOODBURY,NY,11797,,,,40.815853,-73.475266
SGES LLC. DBA:URBANEBOX,353 OLD HIGHWAY 30,,ESPERANCE,NY,12066,,,,42.76,-74.25
TRULY RHE,ONE BROADWAY,,TRAY,NY,12180,,,,42.730952,-73.688569
URSULA,31 MOHAWK AVE,,WATERFORD,NY,12188,,,,42.788615,-73.683046
CIRCLES,STUYVESANT PLAZA,,ALBANY,NY,12203,,,,42.682318,-73.847787
BUMBLE BEADS BOUTIQUE,8 BIRCH HILL RD.,,ALBANY,NY,12211,,,,42.680077,-73.752662
DIG THE SHOP,89 PARTITION ST,,SAUGERTIES,NY,12477,,,,42.077288,-73.952031
WOOD STOCK DESIGN,9  TINKER ST,,WOODSTOCK,NY,12498,,,,42.040786,-74.11851
ECHO,470 MAIN STREET,,BEACON,NY,12508,,,,41.50198,-73.964503
RAMBLING ROSE LTD,73 MAIN STREET,,NEW PALTZ,NY,12561,,,,41.74806,-74.085725
JOOVAY LINGERIE INC,6423 MONTGOMERY ST,,RHINEBECK,NY,12572,,,,41.927934,-73.912998
HAVEN BOUTIQUE,49 THORNWOOD DRIVE,,POUGHKEEPSIE,NY,12603,,,,41.67497,-73.917021
LIFESTYLES.,436 BROADWAY,,SARATOGA SPRINGS,NY,12866,,,,43.082122,-73.784953
SARATOGA SADDLERY,506 BROADWAY,,SARATOGA SPRINGS,NY,12866,,,,43.084192,-73.784367
PURE PLACID,24 AMANDA DR,,LAKE PALCID,NY,12946,,,,44.305484,-74.013412
JANE MORGAN'S LITTLE HOUSE LTD.,378 MAIN ST,,AURORA,NY,13026,,,,42.754266,-76.702034
LILLIE BEAN,57 ALBANY ST,,CAZENOVIA,NY,13035,,,,42.930064,-75.853809
ELSBETH ROSE/MARILYN RINGWOOD,100SALT SPRINGS RD,,FAYETTEVILLE,NY,13066,,,,0,0
BEV & CO.,1 - 3 SOUTH MAIN STREET,,HOMER,NY,13077,,,,42.64,-76.17
THE CHANGING ROOM LLC,425 SOUTH WARREN ST,,SYRACUSE,NY,13202,,,,43.04651,-76.150511
GRACIOUS HOME AND GIFTS,4650 COMMERCIAL DRIVE,,NEW HARTFORD,NY,13413,,,,43.088368,-75.312311
THE PRINCESS SHOP,9 NEW HARTFORD SHOPPING CENTER,,NEW HARTFORD,NY,13413,,,,43.07845,-75.293869
HAZEN ENTERPRISES,17 MARKET ST.,,POTSDAM,NY,13676,,,,44.669111,-74.987195
WILLOW TREE FLORIST & LANDSCAPING,7580 US HWY 11,,POTSDAM,NY,13676,,,,44.67,-74.99
STEWARTS,85 MAIN STREET,,DELHI,NY,13753,,,,42.276709,-74.917438
